Net generation for all sectors per State,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Utah : all fuels (utility-scale),35854,36608,38024,38212,38165,41263,45373,46579,43543,42249,40836,39403,42517,43785,41949,38134,37412,39375,39117,37087,42566
Utah : nuclear,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Wyoming,,,,,,,,,,,,,,,,,,,,,
Wyoming : all fuels (utility-scale),44777,43784,43627,44808,45567,45400,45633,46500,46029,48119,47638,49589,52483,49696,48967,46657,46742,46112,42146,42011,43461
Wyoming : nuclear,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
California,,,,,,,,,,,,,,,,,,,,,
California : all fuels (utility-scale),198596,184210,192789,194780,200293,216799,210848,207984,204776,204126,200805,199519,200077,198808,196704,196963,206147,195466,201784,193084,197165
California : nuclear,33220,34352,35594,30268,36155,31959,35792,32482,31764,32201,36663,18507,17912,16986,18505,18908,17901,18214,16165,16259,16477
Oregon,,,,,,,,,,,,,,,,,,,,,
Oregon : all fuels (utility-scale),45052,47099,48966,51381,49325,53341,55078,58718,56691,55127,59695,60933,59896,60120,57867,60182,62714,64114,62258,63625,61017
Oregon : nuclear,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Washington,,,,,,,,,,,,,,,,,,,,,
Washington : all fuels (utility-scale),83049,102765,100095,102165,101966,108203,106990,110828,104470,103473,115263,116835,114173,116334,109287,114087,115912,116757,106464,116114,110808
Washington : nuclear,8250,9048,7615,8982,8242,9328,8109,9270,6634,9241,4806,9334,8461,9497,8161,9626,8128,9708,8866,9427,8511
Alaska,,,,,,,,,,,,,,,,,,,,,
Alaska : all fuels (utility-scale),6744,6767,6339,6527,6577,6674,6821,6775,6702,6760,6871,6946,6497,6043,6285,6335,6497,6247,6071,6276,6596
Alaska : nuclear,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Hawaii,,,,,,,,,,,,,,,,,,,,,
Hawaii : all fuels (utility-scale),10633,11663,10976,11410,11523,11559,11533,11376,11011,10836,10723,10469,10267,10204,10120,9949,9813,9797,9750,9079,9182
Hawaii : nuclear,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
